00 1
01 01
02 001
03 0001
04 00001
05 000001
06 0000001
07 00000001
08 000000001
09 0000000001
0A 00000000001
0B 000000000001
0C 0000000000001
0D 00000000000001
0E 000000000000001
0F 0000000000000001
10 00000000000000001
11 000000000000000001
12 0000000000000000001
13 00000000000000000001
14 000000000000000000001
15 0000000000000000000001
16 00000000000000000000001
17 000000000000000000000001
18 0000000000000000000000001
19 00000000000000000000000001
1A 000000000000000000000000001
1B 0000000000000000000000000001
1C 00000000000000000000000000001
1D 000000000000000000000000000001
1E 0000000000000000000000000000001
1F 00000000000000000000000000000001
20 000000000000000000000000000000001
21 0000000000000000000000000000000001
22 00000000000000000000000000000000001
23 000000000000000000000000000000000001
24 0000000000000000000000000000000000001
25 00000000000000000000000000000000000001
26 000000000000000000000000000000000000001
27 0000000000000000000000000000000000000001
28 00000000000000000000000000000000000000001
29 000000000000000000000000000000000000000001
2A 0000000000000000000000000000000000000000001
2B 00000000000000000000000000000000000000000001
2C 000000000000000000000000000000000000000000001
2D 0000000000000000000000000000000000000000000001
2E 00000000000000000000000000000000000000000000001
2F 000000000000000000000000000000000000000000000001
30 0000000000000000000000000000000000000000000000001
31 00000000000000000000000000000000000000000000000001
32 000000000000000000000000000000000000000000000000001
33 0000000000000000000000000000000000000000000000000001
34 00000000000000000000000000000000000000000000000000001
35 000000000000000000000000000000000000000000000000000001
36 0000000000000000000000000000000000000000000000000000001
37 00000000000000000000000000000000000000000000000000000001
38 000000000000000000000000000000000000000000000000000000001
39 0000000000000000000000000000000000000000000000000000000001
3A 00000000000000000000000000000000000000000000000000000000001
3B 000000000000000000000000000000000000000000000000000000000001
3C 0000000000000000000000000000000000000000000000000000000000001
3D 00000000000000000000000000000000000000000000000000000000000001
3E 000000000000000000000000000000000000000000000000000000000000001
3F 0000000000000000000000000000000000000000000000000000000000000001
40 00000000000000000000000000000000000000000000000000000000000000001
41 000000000000000000000000000000000000000000000000000000000000000001
42 0000000000000000000000000000000000000000000000000000000000000000001
43 00000000000000000000000000000000000000000000000000000000000000000001
44 000000000000000000000000000000000000000000000000000000000000000000001
45 0000000000000000000000000000000000000000000000000000000000000000000001
46 00000000000000000000000000000000000000000000000000000000000000000000001
47 000000000000000000000000000000000000000000000000000000000000000000000001
48 0000000000000000000000000000000000000000000000000000000000000000000000001
49 00000000000000000000000000000000000000000000000000000000000000000000000001
4A 000000000000000000000000000000000000000000000000000000000000000000000000001
4B 0000000000000000000000000000000000000000000000000000000000000000000000000001
4C 00000000000000000000000000000000000000000000000000000000000000000000000000001
4D 000000000000000000000000000000000000000000000000000000000000000000000000000001
4E 0000000000000000000000000000000000000000000000000000000000000000000000000000001
4F 00000000000000000000000000000000000000000000000000000000000000000000000000000001
50 000000000000000000000000000000000000000000000000000000000000000000000000000000001
51 0000000000000000000000000000000000000000000000000000000000000000000000000000000001
52 00000000000000000000000000000000000000000000000000000000000000000000000000000000001
53 000000000000000000000000000000000000000000000000000000000000000000000000000000000001
54 0000000000000000000000000000000000000000000000000000000000000000000000000000000000001
55 00000000000000000000000000000000000000000000000000000000000000000000000000000000000001
56 000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
57 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
58 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
