00 011110101111000110011001
01 0111101011110001100110001
02 01111010111100011001100001
03 011110101111000110011000001
04 0111101011110001100110000001
05 01111010111100011001100000001
06 011110101111000110011000000001
07 0111101011110001100110000000001
08 01111010111100011001100000000001
09 011110101111000110011000000000001
0A 1011100
0B 0111101011110001100110000000000001
0C 01111010111100011001100000000000001
0D 1011101
0E 011110101111000110011000000000000001
0F 0111101011110001100110000000000000001
10 01111010111100011001100000000000000001
11 011110101111000110011000000000000000001
12 0111101011110001100110000000000000000001
13 01111010111100011001100000000000000000001
14 011110101111000110011000000000000000000001
15 0111101011110001100110000000000000000000001
16 01111010111100011001100000000000000000000001
17 011110101111000110011000000000000000000000001
18 0111101011110001100110000000000000000000000001
19 01111010111100011001100000000000000000000000001
1A 011110101111000110011000000000000000000000000001
1B 0111101011110001100110000000000000000000000000001
1C 01111010111100011001100000000000000000000000000001
1D 011110101111000110011000000000000000000000000000001
1E 0111101011110001100110000000000000000000000000000001
1F 01111010111100011001100000000000000000000000000000001
20 101011
21 011110101111000110011000000000000000000000000000000001
22 01111010111100011010
23 0111101011110001100110000000000000000000000000000000001
24 011110101111000110011000000000000000000000000000000000001
25 011110100101111011
26 0111101011110001100110000000000000000000000000000000000001
27 01111010111100011001100000000000000000000000000000000000001
28 01111010110110
29 01111010110111
2A 011110101111000110011000000000000000000000000000000000000001
2B 01111010010111100001
2C 0111101011110001100110000000000000000000000000000000000000001
2D 0111101010
2E 0111101000100
2F 01111010111100111
30 011110100011
31 011110101110
32 0111101011111
33 0111101011001
34 0111101001000
35 0111101001001
36 0111101001100
37 0111101001110
38 01111010111101
39 0111101001010
3A 011110101111000110010
3B 01111010111100011001100000000000000000000000000000000000000001
3C 01111010111100011000
3D 01111010111100011011
3E 01111010010111100000
3F 011110101111000110011000000000000000000000000000000000000000001
40 0111101011110001100110000000000000000000000000000000000000000001
41 01111010111100011001100000000000000000000000000000000000000000001
42 011110101111000110011000000000000000000000000000000000000000000001
43 0111101011110001100110000000000000000000000000000000000000000000001
44 01111010111100011001100000000000000000000000000000000000000000000001
45 011110101111000110011000000000000000000000000000000000000000000000001
46 0111101011110001100110000000000000000000000000000000000000000000000001
47 01111010111100011001100000000000000000000000000000000000000000000000001
48 011110101111000110011000000000000000000000000000000000000000000000000001
49 0111101011110001100110000000000000000000000000000000000000000000000000001
4A 01111010111100011001100000000000000000000000000000000000000000000000000001
4B 011110101111000110011000000000000000000000000000000000000000000000000000001
4C 0111101011110001100110000000000000000000000000000000000000000000000000000001
4D 01111010111100011001100000000000000000000000000000000000000000000000000000001
4E 011110101111000110011000000000000000000000000000000000000000000000000000000001
4F 0111101011110001100110000000000000000000000000000000000000000000000000000000001
50 01111010111100011001100000000000000000000000000000000000000000000000000000000001
51 011110101111000110011000000000000000000000000000000000000000000000000000000000001
52 0111101011110001100110000000000000000000000000000000000000000000000000000000000001
53 01111010111100011001100000000000000000000000000000000000000000000000000000000000001
54 011110101111000110011000000000000000000000000000000000000000000000000000000000000001
55 0111101011110001100110000000000000000000000000000000000000000000000000000000000000001
56 01111010111100011001100000000000000000000000000000000000000000000000000000000000000001
57 011110101111000110011000000000000000000000000000000000000000000000000000000000000000001
58 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000001
59 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5A 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5B 01111010011111
5C 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5D 01111010110000
5E 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5F 0111101011110001100111
60 01111010111100011001100000000000000000000000000000000001
61 01111010000
62 0111101001011010
63 01111010110101
64 01111010110001
65 01111010011010
66 011110100101111001
67 0111101001011111
68 01111010111100100
69 0111101000101
6A 0111101001111010
6B 0111101001111011
6C 0111101011110000
6D 0111101011010011
6E 011110100101100
6F 011110100111100
70 01111010011011
71 01111010111100011001101
72 0111101011010010
73 01111010111100110
74 011110101101000
75 011110101111000111
76 01111010111100010
77 0111101001011011
78 011110100101110
79 01111010111100101
7A 0111101001011110001
7B 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7C 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7D 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7E 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7F 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
80 10000
81 1010011
82 000110
83 1100011
84 101111
85 0111100
86 1101100
87 1100111
88 011100
89 1111110
8A 1000111
8B 1000110
8C 00101
8D 1100110
8E 1100001
8F 1111101
90 1011001
91 1010001
92 01110101
93 10010011
94 0001010
95 10110101
96 0111011
97 1010000
98 000100
99 1001000
9A 110010
9B 1001010
9C 110101
9D 1111111
9E 01111011
9F 1100000
A0 0001011
A1 0001111
A2 11000101
A3 11111000
A4 1011011
A5 1010010
A6 11110011
A7 0101100
A8 1101101
A9 10110100
AA 1001011
AB 10010010
AC 11111001
AD 0111110
AE 1011000
AF 010111
B0 001000
B1 0001110
B2 11000100
B3 11110010
B4 1000100
B5 01110100
B6 0010010
B7 0010011
B8 01000
B9 1111000
BA 111101
BB 101010
BC 01010
BD 010010
BE 0101101
BF 010011
C0 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000001
C1 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000001
C2 011110100101111010
C3 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000001
C4 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000001
C5 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000001
C6 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000001
C7 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000001
C8 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000001
C9 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000001
CA 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000001
CB 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000001
CC 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000001
CD 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000001
CE 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000001
CF 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000001
D0 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000001
D1 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D2 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D3 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D4 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D5 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D6 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D7 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D8 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
D9 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
DA 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
DB 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
DC 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
DD 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
DE 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
DF 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
E0 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
E1 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
E2 1000101
E3 0111111
E4 0011
E5 1110
E6 0110
E7 0000
E8 10011
E9 110100
EA 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
EB 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
EC 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
ED 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
EE 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
EF 110111
F0 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F1 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F2 011110101111000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F3 0111101011110001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
F4 01111010111100011001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
